id;code;libelle;descrition
1;Generic ;Summit Avon relationships;Shirt pixel
2;Brand;circuit Auto Loan Account;Small Investment Account
3;RAM Comp;fuchsia Frozen;Awesome Granite Shirt multimedia
4;navigati;THX Intuitive;New Zealand Dollar Squares Sleek Concrete Table
5;responsi;project National;bluetooth North Dakota Ergonomic
6;IB open-;infrastructure Licensed;Checking Account
7;back-end;Cotton Customer tan;Communications Vermont SDD
8;Center B;cross-platform Fundamental invoice;Cambridgeshire array Intelligent
9;CSS digi;Bedfordshire Graphical User Interface teal;Incredible Concrete Pants
10;Keyboard;focus group COM;RAM Soft
